Formation,Best Lineup,Score,Home Tactics
4-4-2 Holding,"{'GK': 'M. ter Stegen', 'LCB': 'R. Araujo', 'RCB': 'J. Koundé', 'RM': 'İ. Gündoğan', 'LM': 'Pedri', 'LS': 'Raphinha', 'RS': 'R. Lewandowski', 'RB': 'João Cancelo', 'LB': 'Sergi Roberto', 'LDM': 'Gavi', 'RDM': 'F. de Jong'}",77.13545454545456,"0.7, 36.68, 40.78, 1.93, 3.33, 12.11, 0.35, 2.31, 0.2, 1.61"
3-5-2,"{'GK': 'M. ter Stegen', 'CB': 'R. Araujo, J. Koundé, Marcos Alonso', 'RM': 'Gavi', 'CDM': 'F. de Jong, João Cancelo', 'LM': 'Pedri', 'CAM': 'İ. Gündoğan', 'ST': 'R. Lewandowski, Raphinha'}",76.14136363636294,"1.29, 53.13, 0.92, 8.25, 17.83, 0.54, 3.76, 0.18, 3.8, 10.31"
4-1-2-1-2 (2),"{'GK': 'M. ter Stegen', 'CB': 'R. Araujo, J. Koundé', 'CDM': 'F. de Jong', 'RB': 'João Cancelo', 'LB': 'Sergi Roberto', 'CM': 'Pedri, Gavi', 'CAM': 'İ. Gündoğan', 'ST': 'R. Lewandowski, Raphinha'}",75.55954545454546,"1.76, 34.94, 7.66, 6.25, 1.49, 7.89, 1.43, 2.47, 35.93, 0.18"
4-3-1-2,"{'GK': 'M. ter Stegen', 'CB': 'R. Araujo, J. Koundé', 'RB': 'João Cancelo', 'LB': 'F. de Jong', 'CM': 'Pedri, İ. Gündoğan, Gavi', 'CAM': 'João Félix', 'ST': 'R. Lewandowski, Raphinha'}",72.67590909090839,"16.44, 24.7, 11.94, 1.63, 14.84, 11.95, 2.14, 0.81, 10.47, 5.09"
4-3-3 Defend,"{'GK': 'M. ter Stegen', 'LCB': 'J. Koundé', 'RCB': 'R. Araujo', 'RB': 'João Cancelo', 'LB': 'F. de Jong', 'CM': 'Pedri', 'RW': 'Raphinha', 'LW': 'João Félix', 'ST': 'R. Lewandowski', 'LDM': 'Gavi', 'RDM': 'İ. Gündoğan'}",72.28863636363636,"1.8, 23.5, 5.03, 1.87, 1.14, 19.34, 31.65, 0.18, 8.63, 6.85"
4-1-2-1-2 Wide,"{'GK': 'M. ter Stegen', 'LCB': 'R. Araujo', 'RCB': 'J. Koundé', 'RM': 'İ. Gündoğan', 'CDM': 'F. de Jong', 'LM': 'Gavi', 'LS': 'Raphinha', 'RS': 'R. Lewandowski', 'RB': 'João Cancelo', 'LB': 'Sergi Roberto', 'CAM': 'Pedri'}",71.89863636363637,"4.74, 31.62, 21.76, 5.99, 0.66, 20.41, 1.67, 12.22, 0.26, 0.67"
4-5-1 Flat,"{'GK': 'M. ter Stegen', 'LCB': 'J. Koundé', 'RCB': 'R. Araujo', 'RM': 'Raphinha', 'RCM': 'İ. Gündoğan', 'LCM': 'Pedri', 'LM': 'João Félix', 'RB': 'João Cancelo', 'LB': 'F. de Jong', 'CM': 'Gavi', 'ST': 'R. Lewandowski'}",71.80090909090907,"5.66, 2.55, 12.73, 26.8, 2.75, 2.91, 5.04, 25.92, 10.52, 5.12"
4-5-1 Attack,"{'GK': 'M. ter Stegen', 'LCB': 'J. Koundé', 'RCB': 'R. Araujo', 'RM': 'Gavi', 'LM': 'Raphinha', 'RB': 'João Cancelo', 'LB': 'F. de Jong', 'CM': 'Pedri', 'ST': 'R. Lewandowski', 'RAM': 'João Félix', 'LAM': 'İ. Gündoğan'}",71.4581818181811,"21.3, 17.19, 18.03, 8.94, 7.98, 10.2, 0.16, 3.59, 3.29, 9.32"
4-1-2-1-2 Narrow,"{'GK': 'M. ter Stegen', 'LCB': 'J. Koundé', 'RCB': 'R. Araujo', 'RCM': 'Pedri', 'CDM': 'F. de Jong', 'LCM': 'Gavi', 'LS': 'Raphinha', 'RS': 'R. Lewandowski', 'RB': 'João Cancelo', 'LB': 'Sergi Roberto', 'CAM': 'İ. Gündoğan'}",71.36454545454475,"6.71, 21.99, 15.31, 1.7, 1.93, 9.75, 4.66, 25.45, 0.79, 11.71"
5-2-1-2,"{'GK': 'M. ter Stegen', 'CB': 'R. Araujo, J. Koundé, Marcos Alonso', 'RWB': 'João Cancelo', 'LWB': 'F. de Jong', 'CM': 'Pedri, Gavi', 'CAM': 'İ. Gündoğan', 'ST': 'R. Lewandowski, Raphinha'}",71.31227272727202,"34.6, 16.8, 11.36, 8.71, 2.39, 2.37, 13.0, 3.48, 2.91, 4.37"
