,league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Accurate crosses (%),home_Accurate long balls (%),home_Touches in opposition box,team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Accurate crosses (%),away_Accurate long balls (%),away_Touches in opposition box
0,ITA-Serie A,2223,2022-08-13 AC Milan-Udinese,1,1,2022-08-13 16:30:00+00:00,AC Milan,Udinese,4 , 2,FT,3919071,https://fotmob.com/matches/ac-milan-vs-udinese/2fpjs6#3919071,AC Milan,2.33,1.54,3.01,1.40,0.14,2.0,0.0,9.0,7.0,5.0,5.0,14.0,429,59,3,0,5,16,0.85,4,35,0,190,239,502,21,0.19,0.53,,Udinese,0.49,0.49,0.39,0.37,0.12,1.0,0.0,5.0,4.0,4.0,4.0,9.0,278,41,0,0,1,13,0.81,4,30,1,110,168,343,14,0.36,0.68,
1,ITA-Serie A,2223,2022-08-13 Lecce-Inter,1,1,2022-08-13 18:45:00+00:00,Lecce,Inter,1 , 2,FT,3919077,https://fotmob.com/matches/inter-vs-lecce/2u5qhi#3919077,Lecce,0.69,0.69,1.35,0.37,0.32,2.0,0.0,5.0,4.0,4.0,5.0,10.0,184,30,1,0,6,21,0.72,3,20,2,82,102,254,11,0.23,0.37,,Inter,2.09,2.09,1.75,1.33,0.77,5.0,1.0,11.0,5.0,9.0,8.0,19.0,523,70,3,1,8,19,0.87,8,24,3,261,262,603,22,0.25,0.52,
2,ITA-Serie A,2223,2022-08-13 Monza-Torino,1,1,2022-08-13 18:45:00+00:00,Monza,Torino,1 , 2,FT,3919072,https://fotmob.com/matches/monza-vs-torino/276icu#3919072,Monza,1.37,1.37,0.95,1.25,0.12,4.0,0.0,5.0,7.0,4.0,10.0,15.0,365,54,1,0,2,6,0.82,5,29,1,117,248,447,16,0.36,0.49,,Torino,2.16,2.16,3.97,2.13,0.03,4.0,0.0,12.0,3.0,6.0,1.0,13.0,307,46,6,4,7,17,0.81,4,17,5,151,156,377,14,0.25,0.4,
3,ITA-Serie A,2223,2022-08-13 Sampdoria-Atalanta,1,1,2022-08-13 16:30:00+00:00,Sampdoria,Atalanta,0 , 2,FT,3919073,https://fotmob.com/matches/atalanta-vs-sampdoria/2sv17j#3919073,Sampdoria,0.97,0.97,0.34,0.79,0.18,5.0,2.0,6.0,5.0,1.0,5.0,11.0,363,55,0,0,3,13,0.8,4,28,1,175,188,455,23,0.21,0.53,,Atalanta,2.17,2.17,1.68,2.11,0.06,3.0,1.0,6.0,3.0,3.0,3.0,9.0,285,45,3,1,2,21,0.77,2,28,2,109,176,371,18,0.22,0.41,
4,ITA-Serie A,2223,2022-08-14 Fiorentina-Cremonese,1,1,2022-08-14 16:30:00+00:00,Fiorentina,Cremonese,3 , 2,FT,3919075,https://fotmob.com/matches/cremonese-vs-fiorentina/27ga0v#3919075,Fiorentina,2.12,2.12,2.47,1.58,0.54,10.0,0.0,21.0,7.0,11.0,7.0,28.0,507,75,1,1,11,10,0.89,12,76,1,264,243,569,15,0.34,0.79,,Cremonese,1.30,1.30,1.16,0.89,0.41,6.0,0.0,9.0,3.0,4.0,4.0,13.0,121,25,2,1,4,19,0.63,4,7,1,55,66,191,10,0.31,0.16,
5,ITA-Serie A,2223,2022-08-14 Lazio-Bologna,1,1,2022-08-14 16:30:00+00:00,Lazio,Bologna,2 , 1,FT,3919074,https://fotmob.com/matches/lazio-vs-bologna/2ssnzl#3919074,Lazio,0.66,0.66,1.65,0.61,0.05,1.0,0.0,4.0,2.0,6.0,5.0,9.0,247,41,1,0,3,11,0.8,3,28,3,118,129,307,21,0.3,0.57,,Bologna,1.59,0.80,1.40,0.55,0.25,2.0,0.0,5.0,6.0,3.0,6.0,11.0,387,59,2,1,2,18,0.86,3,27,2,156,231,450,18,0.3,0.51,
6,ITA-Serie A,2223,2022-08-14 Salernitana-Roma,1,1,2022-08-14 18:45:00+00:00,Salernitana,Roma,0 , 1,FT,3919078,https://fotmob.com/matches/salernitana-vs-roma/1wha1b#3919078,Salernitana,0.61,0.61,0.06,0.22,0.39,6.0,0.0,4.0,5.0,2.0,9.0,13.0,375,52,0,0,4,18,0.84,5,23,1,197,178,449,13,0.45,0.45,,Roma,2.42,2.42,1.86,2.08,0.34,6.0,1.0,14.0,9.0,5.0,6.0,20.0,345,48,6,6,2,9,0.83,2,22,3,132,213,418,19,0.22,0.47,
7,ITA-Serie A,2223,2022-08-14 Spezia-Empoli,1,1,2022-08-14 18:45:00+00:00,Spezia,Empoli,1 , 0,FT,3919076,https://fotmob.com/matches/empoli-vs-spezia/2syl29#3919076,Spezia,0.46,0.46,0.56,0.34,0.12,1.0,0.0,4.0,6.0,2.0,5.0,9.0,275,41,2,1,6,15,0.77,3,27,3,123,152,355,18,0.14,0.47,,Empoli,0.71,0.71,0.28,0.61,0.11,5.0,0.0,9.0,8.0,5.0,9.0,18.0,416,59,0,0,4,8,0.8,4,38,1,217,199,519,32,0.14,0.59,
8,ITA-Serie A,2223,2022-08-15 Hellas Verona-SSC Napoli,1,1,2022-08-15 16:30:00+00:00,Hellas Verona,SSC Napoli,2 , 5,FT,3919069,https://fotmob.com/matches/ssc-napoli-vs-hellas-verona/3851k0#3919069,Hellas Verona,1.09,1.09,1.51,0.32,0.76,0.0,0.0,5.0,3.0,3.0,1.0,6.0,187,34,2,0,4,15,0.72,4,19,1,87,100,260,11,0.29,0.38,16,SSC Napoli,2.45,2.45,2.57,1.78,0.66,6.0,1.0,20.0,11.0,8.0,5.0,25.0,441,66,4,1,8,6,0.85,8,30,2,227,214,516,17,0.4,0.68,44
9,ITA-Serie A,2223,2022-08-15 Juventus-Sassuolo,1,1,2022-08-15 18:45:00+00:00,Juventus,Sassuolo,3 , 0,FT,3919070,https://fotmob.com/matches/sassuolo-vs-juventus/2mml13#3919070,Juventus,1.99,1.20,2.01,1.09,0.11,3.0,0.0,11.0,7.0,4.0,3.0,14.0,322,42,2,0,3,7,0.84,4,24,4,89,233,384,14,0.36,0.46,,Sassuolo,0.94,0.94,1.38,0.93,0.01,6.0,0.0,5.0,6.0,7.0,14.0,19.0,477,58,1,1,2,5,0.9,4,39,2,289,188,531,21,0.29,0.74,
10,ITA-Serie A,2223,2022-08-20 Inter-Spezia,2,2,2022-08-20 18:45:00+00:00,Inter,Spezia,3 , 0,FT,3919092,https://fotmob.com/matches/inter-vs-spezia/2u2yg0#3919092,Inter,2.11,2.11,2.78,1.30,0.81,3.0,1.0,14.0,8.0,8.0,5.0,19.0,446,55,4,3,10,11,0.89,5,40,5,173,273,503,18,0.24,0.67,,Spezia,0.49,0.49,0.00,0.30,0.49,1.0,0.0,2.0,1.0,0.0,0.0,2.0,355,45,1,1,4,7,0.85,4,12,1,138,217,420,27,0.36,0.36,
11,ITA-Serie A,2223,2022-08-20 Sassuolo-Lecce,2,2,2022-08-20 18:45:00+00:00,Sassuolo,Lecce,1 , 0,FT,3919096,https://fotmob.com/matches/sassuolo-vs-lecce/2mnqb0#3919096,Sassuolo,0.63,0.63,0.84,0.45,0.17,5.0,0.0,5.0,4.0,3.0,7.0,12.0,439,59,1,1,5,14,0.86,2,47,0,192,247,511,30,0.15,0.73,,Lecce,0.48,0.48,0.08,0.40,0.08,2.0,0.0,4.0,4.0,1.0,3.0,7.0,279,41,1,1,4,12,0.82,5,30,4,115,164,341,17,0.25,0.56,
12,ITA-Serie A,2223,2022-08-20 Torino-Lazio,2,2,2022-08-20 16:30:00+00:00,Torino,Lazio,0 , 0,FT,3919097,https://fotmob.com/matches/lazio-vs-torino/2s7sji#3919097,Torino,0.66,0.66,0.03,0.37,0.29,2.0,0.0,6.0,7.0,1.0,4.0,10.0,403,54,1,1,6,11,0.83,6,26,4,153,250,483,19,0.38,0.43,,Lazio,0.79,0.79,0.16,0.74,0.05,3.0,0.0,5.0,2.0,2.0,2.0,7.0,335,46,1,1,4,12,0.78,0,34,0,121,214,427,12,0.0,0.44,
13,ITA-Serie A,2223,2022-08-20 Udinese-Salernitana,2,2,2022-08-20 16:30:00+00:00,Udinese,Salernitana,0 , 0,FT,3919098,https://fotmob.com/matches/salernitana-vs-udinese/1vpeek#3919098,Udinese,1.22,1.22,0.47,0.99,0.24,8.0,0.0,10.0,5.0,2.0,5.0,15.0,281,47,2,2,6,9,0.75,2,24,0,136,145,377,32,0.18,0.44,,Salernitana,1.63,1.63,2.31,1.15,0.49,3.0,0.0,11.0,8.0,6.0,6.0,17.0,337,53,3,3,6,12,0.82,5,41,1,174,163,412,21,0.19,0.59,
14,ITA-Serie A,2223,2022-08-21 Atalanta-AC Milan,2,2,2022-08-21 18:45:00+00:00,Atalanta,AC Milan,1 , 1,FT,3919089,https://fotmob.com/matches/atalanta-vs-ac-milan/2exnf8#3919089,Atalanta,0.51,0.51,0.25,0.47,0.04,2.0,0.0,5.0,7.0,2.0,6.0,11.0,270,41,0,0,4,15,0.79,5,31,0,115,155,343,15,0.36,0.48,,AC Milan,1.27,1.27,1.28,0.64,0.63,2.0,0.0,9.0,9.0,7.0,9.0,18.0,448,59,3,3,6,6,0.86,5,32,3,206,242,519,23,0.26,0.53,
15,ITA-Serie A,2223,2022-08-21 Bologna-Hellas Verona,2,2,2022-08-21 18:45:00+00:00,Bologna,Hellas Verona,1 , 1,FT,3919090,https://fotmob.com/matches/bologna-vs-hellas-verona/37xfcr#3919090,Bologna,0.85,0.85,1.42,0.72,0.13,5.0,0.0,7.0,7.0,5.0,10.0,17.0,254,52,2,1,9,10,0.72,6,24,1,120,134,352,22,0.38,0.38,14,Hellas Verona,2.04,2.04,0.84,1.20,0.84,8.0,1.0,10.0,8.0,3.0,9.0,19.0,219,48,3,2,8,14,0.71,8,25,5,126,93,309,16,0.31,0.45,25
16,ITA-Serie A,2223,2022-08-21 Empoli-Fiorentina,2,2,2022-08-21 16:30:00+00:00,Empoli,Fiorentina,0 , 0,FT,3919091,https://fotmob.com/matches/empoli-vs-fiorentina/2eqp0i#3919091,Empoli,0.38,0.38,0.26,0.38,0.00,0.0,0.0,3.0,2.0,2.0,1.0,4.0,219,37,2,2,1,13,0.74,1,14,1,90,129,295,13,0.17,0.35,,Fiorentina,0.74,0.74,0.39,0.56,0.19,8.0,0.0,11.0,9.0,2.0,8.0,19.0,418,63,1,1,9,11,0.87,8,43,1,228,190,481,22,0.28,0.73,
17,ITA-Serie A,2223,2022-08-21 SSC Napoli-Monza,2,2,2022-08-21 16:30:00+00:00,SSC Napoli,Monza,4 , 0,FT,3919093,https://fotmob.com/matches/monza-vs-ssc-napoli/27vdst#3919093,SSC Napoli,2.02,2.02,2.14,1.48,0.54,9.0,0.0,15.0,8.0,5.0,7.0,22.0,436,54,7,4,10,11,0.89,9,30,1,205,231,489,13,0.5,0.73,,Monza,0.11,0.11,0.08,0.07,0.04,0.0,0.0,1.0,3.0,1.0,3.0,4.0,349,46,0,0,4,13,0.85,3,12,0,164,185,410,17,0.18,0.41,
18,ITA-Serie A,2223,2022-08-22 Roma-Cremonese,2,2,2022-08-22 16:30:00+00:00,Roma,Cremonese,1 , 0,FT,3919094,https://fotmob.com/matches/cremonese-vs-roma/28xeca#3919094,Roma,2.81,2.81,2.55,2.37,0.44,9.0,1.0,17.0,6.0,12.0,10.0,27.0,305,49,3,2,5,7,0.78,6,41,1,156,149,389,18,0.43,0.65,,Cremonese,0.67,0.67,0.15,0.60,0.07,2.0,2.0,3.0,9.0,3.0,11.0,14.0,320,51,0,0,6,14,0.81,6,16,1,160,160,394,16,0.22,0.37,
19,ITA-Serie A,2223,2022-08-22 Sampdoria-Juventus,2,2,2022-08-22 18:45:00+00:00,Sampdoria,Juventus,0 , 0,FT,3919095,https://fotmob.com/matches/sampdoria-vs-juventus/38bti9#3919095,Sampdoria,0.86,0.86,0.51,0.75,0.11,2.0,0.0,6.0,6.0,1.0,3.0,9.0,333,47,1,1,3,8,0.83,0,26,1,148,185,399,24,0.0,0.53,,Juventus,0.77,0.77,0.58,0.48,0.29,1.0,0.0,6.0,5.0,4.0,4.0,10.0,380,53,0,0,4,14,0.87,2,28,3,106,274,438,13,0.14,0.53,
20,ITA-Serie A,2223,2022-08-26 Lazio-Inter,3,3,2022-08-26 18:45:00+00:00,Lazio,Inter,3 , 1,FT,3919103,https://fotmob.com/matches/lazio-vs-inter/2fv2k6#3919103,Lazio,1.12,1.12,2.01,1.02,0.10,1.0,0.0,10.0,3.0,7.0,1.0,11.0,442,48,1,0,2,5,0.88,2,37,0,186,256,503,9,0.2,0.7,,Inter,1.51,1.51,1.55,0.82,0.69,2.0,0.0,13.0,10.0,7.0,6.0,19.0,481,52,2,1,4,12,0.89,10,20,0,194,287,539,13,0.43,0.54,
21,ITA-Serie A,2223,2022-08-26 Monza-Udinese,3,3,2022-08-26 16:30:00+00:00,Monza,Udinese,1 , 2,FT,3919106,https://fotmob.com/matches/monza-vs-udinese/1vx5w8#3919106,Monza,1.53,1.53,1.23,1.35,0.19,4.0,0.0,9.0,1.0,5.0,1.0,10.0,416,56,2,2,3,16,0.89,7,27,4,176,240,469,19,0.54,0.66,,Udinese,1.71,1.71,1.80,1.45,0.25,7.0,0.0,12.0,4.0,4.0,3.0,15.0,305,44,3,1,5,10,0.83,4,29,4,146,159,368,19,0.33,0.59,
22,ITA-Serie A,2223,2022-08-27 AC Milan-Bologna,3,3,2022-08-27 18:45:00+00:00,AC Milan,Bologna,2 , 0,FT,3919105,https://fotmob.com/matches/ac-milan-vs-bologna/2t0ybc#3919105,AC Milan,1.87,1.87,3.04,1.66,0.21,6.0,0.0,14.0,6.0,7.0,5.0,19.0,351,48,4,2,5,13,0.83,5,28,2,203,148,421,18,0.26,0.49,,Bologna,0.54,0.54,0.00,0.49,0.05,2.0,1.0,2.0,6.0,0.0,6.0,8.0,389,52,1,1,1,9,0.82,1,37,2,162,227,475,16,0.25,0.58,
23,ITA-Serie A,2223,2022-08-27 Cremonese-Torino,3,3,2022-08-27 16:30:00+00:00,Cremonese,Torino,1 , 2,FT,3919099,https://fotmob.com/matches/cremonese-vs-torino/2k9wfv#3919099,Cremonese,0.80,0.80,1.07,0.39,0.41,5.0,0.0,11.0,5.0,6.0,5.0,16.0,270,53,0,0,3,9,0.72,6,28,1,138,132,377,21,0.24,0.42,,Torino,1.68,1.68,2.83,1.63,0.06,5.0,0.0,11.0,4.0,5.0,3.0,14.0,234,47,4,2,3,21,0.68,5,27,0,147,87,346,23,0.42,0.4,
24,ITA-Serie A,2223,2022-08-27 Juventus-Roma,3,3,2022-08-27 16:30:00+00:00,Juventus,Roma,1 , 1,FT,3919102,https://fotmob.com/matches/roma-vs-juventus/2uof4v#3919102,Juventus,0.60,0.60,0.49,0.41,0.19,3.0,0.0,4.0,8.0,3.0,10.0,14.0,442,57,0,0,4,16,0.88,3,22,0,223,219,502,23,0.1,0.67,,Roma,1.26,1.26,1.37,0.10,1.16,2.0,0.0,5.0,2.0,4.0,3.0,8.0,318,43,1,0,5,7,0.81,3,19,1,141,177,392,20,0.33,0.37,
