,league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Touches in opposition box,home_Accurate crosses (%),home_Accurate long balls (%),team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Touches in opposition box,away_Accurate crosses (%),away_Accurate long balls (%)
0,ITA-Serie A,2324,2023-08-19 Empoli-Hellas Verona,1,1,2023-08-19 16:30:00+00:00,Empoli,Hellas Verona,0 , 1,FT,4230531,https://fotmob.com/matches/empoli-vs-hellas-verona/2swm0r#4230531,Empoli,0.70,0.70,0.33,0.55,0.15,1.0,0.0,4.0,5.0,4.0,6.0,10.0,200,47,1,1,2,17,0.64,0,17,2,78,122,314,37,,0.0,0.25,Hellas Verona,0.51,0.51,0.43,0.41,0.10,1.0,0.0,6.0,5.0,4.0,4.0,10.0,249,53,1,1,4,18,0.71,3,40,3,102,147,351,24,,0.21,0.56
1,ITA-Serie A,2324,2023-08-19 Frosinone-SSC Napoli,1,1,2023-08-19 16:30:00+00:00,Frosinone,SSC Napoli,1 , 3,FT,4230532,https://fotmob.com/matches/ssc-napoli-vs-frosinone/38be9c#4230532,Frosinone,0.89,0.10,0.98,0.07,0.03,1.0,1.0,3.0,2.0,1.0,1.0,4.0,386,48,1,0,4,14,0.88,2,15,3,112,274,440,15,,0.29,0.38,SSC Napoli,1.50,1.50,2.16,1.39,0.11,7.0,0.0,13.0,4.0,8.0,6.0,19.0,420,52,1,0,6,17,0.89,4,24,3,212,208,473,11,,0.22,0.56
2,ITA-Serie A,2324,2023-08-19 Genoa-Fiorentina,1,1,2023-08-19 18:45:00+00:00,Genoa,Fiorentina,1 , 4,FT,4230537,https://fotmob.com/matches/fiorentina-vs-genoa/2wv81r#4230537,Genoa,0.21,0.21,0.26,0.06,0.15,0.0,0.0,4.0,2.0,2.0,0.0,4.0,218,32,2,1,3,14,0.75,5,19,2,83,135,291,20,,0.31,0.5,Fiorentina,0.99,0.99,1.79,0.90,0.09,2.0,1.0,5.0,2.0,5.0,4.0,9.0,575,68,2,0,4,13,0.88,1,55,1,239,336,656,22,,0.08,0.71
3,ITA-Serie A,2324,2023-08-19 Inter-Monza,1,1,2023-08-19 18:45:00+00:00,Inter,Monza,2 , 0,FT,4230533,https://fotmob.com/matches/monza-vs-inter/1w8tzq#4230533,Inter,2.69,2.69,1.35,2.22,0.47,7.0,0.0,14.0,12.0,3.0,8.0,22.0,426,48,2,0,8,8,0.9,11,37,1,242,184,474,9,,0.52,0.73,Monza,0.78,0.78,0.22,0.75,0.03,4.0,0.0,7.0,6.0,2.0,5.0,12.0,477,52,2,2,3,13,0.9,7,28,1,242,235,528,15,,0.5,0.7
4,ITA-Serie A,2324,2023-08-20 Lecce-Lazio,1,1,2023-08-20 18:45:00+00:00,Lecce,Lazio,2 , 1,FT,4230539,https://fotmob.com/matches/lazio-vs-lecce/2t4wio#4230539,Lecce,1.47,1.47,1.30,1.10,0.37,8.0,0.0,13.0,8.0,7.0,10.0,23.0,392,48,2,2,5,12,0.86,4,21,2,197,195,458,19,,0.25,0.53,Lazio,1.61,1.61,0.87,1.57,0.04,3.0,1.0,6.0,3.0,4.0,4.0,10.0,441,52,4,3,2,16,0.85,2,16,1,200,241,516,12,,0.25,0.46
5,ITA-Serie A,2324,2023-08-20 Roma-Salernitana,1,1,2023-08-20 16:30:00+00:00,Roma,Salernitana,2 , 2,FT,4230534,https://fotmob.com/matches/salernitana-vs-roma/1wha1b#4230534,Roma,1.90,1.90,0.80,0.80,1.10,3.0,1.0,9.0,7.0,3.0,4.0,13.0,389,60,3,1,9,12,0.82,10,23,1,184,205,475,28,,0.33,0.43,Salernitana,0.14,0.14,0.76,0.14,0.00,0.0,0.0,2.0,1.0,2.0,1.0,3.0,241,40,1,0,1,9,0.73,0,12,1,113,128,332,17,,0.0,0.23
6,ITA-Serie A,2324,2023-08-20 Sassuolo-Atalanta,1,1,2023-08-20 16:30:00+00:00,Sassuolo,Atalanta,0 , 2,FT,4230535,https://fotmob.com/matches/sassuolo-vs-atalanta/28qbxm#4230535,Sassuolo,0.44,0.44,0.70,0.35,0.09,4.0,1.0,4.0,4.0,3.0,7.0,11.0,427,50,0,0,7,9,0.87,3,18,0,190,237,491,12,,0.21,0.44,Atalanta,1.32,1.32,0.69,0.94,0.37,2.0,1.0,10.0,8.0,6.0,6.0,16.0,413,50,3,2,7,13,0.86,8,29,2,202,211,480,17,,0.28,0.52
7,ITA-Serie A,2324,2023-08-20 Udinese-Juventus,1,1,2023-08-20 18:45:00+00:00,Udinese,Juventus,0 , 3,FT,4230538,https://fotmob.com/matches/udinese-vs-juventus/2tq9mc#4230538,Udinese,1.00,1.00,1.48,0.51,0.49,7.0,0.0,6.0,6.0,5.0,12.0,18.0,378,48,2,2,7,12,0.88,6,22,3,202,176,429,17,19,0.25,0.58,Juventus,1.85,1.06,2.33,1.05,0.01,2.0,0.0,6.0,3.0,4.0,3.0,9.0,392,52,2,0,3,10,0.82,5,17,4,161,231,476,9,22,0.63,0.38
8,ITA-Serie A,2324,2023-08-21 Bologna-AC Milan,1,1,2023-08-21 18:45:00+00:00,Bologna,AC Milan,0 , 2,FT,4230530,https://fotmob.com/matches/ac-milan-vs-bologna/2t0ybc#4230530,Bologna,1.06,1.06,0.27,0.77,0.30,5.0,2.0,13.0,7.0,5.0,4.0,17.0,481,53,0,0,3,10,0.89,5,33,2,239,242,543,13,,0.31,0.75,AC Milan,0.90,0.90,1.62,0.80,0.10,2.0,1.0,6.0,1.0,6.0,3.0,9.0,409,47,2,1,6,4,0.85,4,11,2,159,250,481,13,,0.36,0.33
9,ITA-Serie A,2324,2023-08-21 Torino-Cagliari,1,1,2023-08-21 16:30:00+00:00,Torino,Cagliari,0 , 0,FT,4230536,https://fotmob.com/matches/cagliari-vs-torino/2s2af3#4230536,Torino,0.96,0.96,0.47,0.32,0.64,3.0,0.0,7.0,6.0,2.0,4.0,11.0,354,57,1,1,8,8,0.79,3,34,1,161,193,447,22,,0.15,0.5,Cagliari,0.39,0.39,0.48,0.33,0.06,1.0,0.0,4.0,5.0,2.0,4.0,8.0,243,43,0,0,3,12,0.72,1,27,2,101,142,338,17,,0.07,0.35
10,ITA-Serie A,2324,2023-08-26 AC Milan-Torino,2,2,2023-08-26 18:45:00+00:00,AC Milan,Torino,4 , 1,FT,4230544,https://fotmob.com/matches/ac-milan-vs-torino/2sg20c#4230544,AC Milan,3.04,1.46,3.28,1.30,0.16,2.0,0.0,10.0,8.0,7.0,7.0,17.0,431,59,4,0,2,13,0.87,4,20,1,167,264,498,11,,0.36,0.5,Torino,0.48,0.48,0.28,0.41,0.07,1.0,0.0,3.0,6.0,1.0,5.0,8.0,272,41,0,0,1,16,0.81,4,24,2,126,146,335,10,,0.31,0.51
11,ITA-Serie A,2324,2023-08-26 Frosinone-Atalanta,2,2,2023-08-26 16:30:00+00:00,Frosinone,Atalanta,2 , 1,FT,4230547,https://fotmob.com/matches/atalanta-vs-frosinone/2syl2j#4230547,Frosinone,0.72,0.72,0.93,0.39,0.33,4.0,0.0,7.0,4.0,5.0,6.0,13.0,270,37,1,0,3,10,0.73,2,19,1,105,165,372,21,,0.25,0.3,Atalanta,1.65,1.65,0.96,1.44,0.22,4.0,0.0,12.0,8.0,6.0,6.0,18.0,522,63,4,4,7,10,0.84,5,18,1,281,241,622,28,,0.17,0.44
12,ITA-Serie A,2324,2023-08-26 Hellas Verona-Roma,2,2,2023-08-26 18:45:00+00:00,Hellas Verona,Roma,2 , 1,FT,4230543,https://fotmob.com/matches/roma-vs-hellas-verona/2uku6v#4230543,Hellas Verona,0.75,0.75,1.27,0.73,0.02,1.0,0.0,4.0,1.0,3.0,1.0,5.0,134,28,1,0,1,17,0.65,1,34,0,71,63,206,15,,0.2,0.54,Roma,1.56,1.56,1.63,1.16,0.40,4.0,2.0,14.0,12.0,7.0,9.0,23.0,431,72,3,2,12,12,0.87,6,20,3,192,239,497,21,,0.19,0.5
13,ITA-Serie A,2324,2023-08-26 Monza-Empoli,2,2,2023-08-26 16:30:00+00:00,Monza,Empoli,2 , 0,FT,4230549,https://fotmob.com/matches/monza-vs-empoli/1vbubb#4230549,Monza,1.99,1.99,0.68,1.84,0.16,6.0,1.0,11.0,9.0,5.0,9.0,20.0,413,54,3,2,6,14,0.85,12,33,2,211,202,486,27,,0.55,0.58,Empoli,0.97,0.97,1.07,0.86,0.11,4.0,1.0,12.0,8.0,6.0,6.0,18.0,343,46,1,1,5,7,0.82,4,22,1,154,189,417,19,,0.29,0.48
14,ITA-Serie A,2324,2023-08-27 Fiorentina-Lecce,2,2,2023-08-27 16:35:00+00:00,Fiorentina,Lecce,2 , 2,FT,4230542,https://fotmob.com/matches/fiorentina-vs-lecce/2t1qro#4230542,Fiorentina,1.35,1.35,1.36,1.22,0.13,2.0,1.0,9.0,4.0,4.0,1.0,10.0,362,60,2,1,3,16,0.82,7,33,2,145,217,444,24,,0.37,0.53,Lecce,0.26,0.26,0.73,0.26,0.00,3.0,0.0,1.0,1.0,2.0,5.0,6.0,220,40,1,0,3,15,0.72,3,15,1,104,116,305,21,,0.33,0.37
15,ITA-Serie A,2324,2023-08-27 Juventus-Bologna,2,2,2023-08-27 16:30:00+00:00,Juventus,Bologna,1 , 1,FT,4230548,https://fotmob.com/matches/bologna-vs-juventus/3818fi#4230548,Juventus,0.83,0.83,0.57,0.58,0.25,4.0,0.0,8.0,7.0,3.0,6.0,14.0,461,58,1,1,6,15,0.86,8,20,4,267,194,534,25,33,0.31,0.59,Bologna,0.50,0.50,1.18,0.42,0.08,2.0,0.0,4.0,4.0,4.0,6.0,10.0,325,42,1,0,2,13,0.81,0,31,0,144,181,401,17,16,0.0,0.53
16,ITA-Serie A,2324,2023-08-27 Lazio-Genoa,2,2,2023-08-27 18:45:00+00:00,Lazio,Genoa,0 , 1,FT,4230550,https://fotmob.com/matches/lazio-vs-genoa/2wyfxn#4230550,Lazio,1.45,1.45,0.50,0.84,0.62,5.0,1.0,10.0,9.0,2.0,6.0,16.0,629,70,1,1,15,9,0.87,8,20,0,442,187,724,29,,0.16,0.56,Genoa,0.56,0.56,0.74,0.56,0.00,1.0,0.0,3.0,1.0,3.0,2.0,5.0,231,30,2,1,1,16,0.74,2,24,0,104,127,314,13,,0.2,0.39
17,ITA-Serie A,2324,2023-08-27 SSC Napoli-Sassuolo,2,2,2023-08-27 18:45:00+00:00,SSC Napoli,Sassuolo,2 , 0,FT,4230545,https://fotmob.com/matches/sassuolo-vs-ssc-napoli/2mirhu#4230545,SSC Napoli,3.54,1.96,1.98,1.71,0.25,8.0,2.0,20.0,12.0,5.0,5.0,25.0,595,67,5,3,12,9,0.91,12,29,4,284,311,656,15,,0.48,0.73,Sassuolo,0.17,0.17,0.01,0.14,0.03,2.0,0.0,1.0,3.0,1.0,5.0,6.0,269,33,0,0,4,10,0.82,2,12,0,135,134,330,6,,0.2,0.36
18,ITA-Serie A,2324,2023-08-28 Cagliari-Inter,2,2,2023-08-28 18:45:00+00:00,Cagliari,Inter,0 , 2,FT,4230541,https://fotmob.com/matches/cagliari-vs-inter/2fpx1z#4230541,Cagliari,0.66,0.66,0.91,0.60,0.06,6.0,0.0,8.0,4.0,2.0,4.0,12.0,254,33,1,1,4,9,0.78,4,27,1,128,126,327,14,,0.18,0.52,Inter,0.92,0.92,1.45,0.59,0.33,5.0,1.0,13.0,9.0,3.0,4.0,17.0,595,67,1,0,7,10,0.88,6,42,2,273,322,678,15,,0.21,0.59
19,ITA-Serie A,2324,2023-08-28 Salernitana-Udinese,2,2,2023-08-28 16:30:00+00:00,Salernitana,Udinese,1 , 1,FT,4230546,https://fotmob.com/matches/salernitana-vs-udinese/1vpeek#4230546,Salernitana,0.50,0.50,1.29,0.45,0.05,1.0,0.0,3.0,4.0,4.0,6.0,9.0,339,56,1,0,7,12,0.79,3,24,1,170,169,427,13,,0.16,0.43,Udinese,0.80,0.80,1.12,0.47,0.32,4.0,0.0,7.0,4.0,6.0,7.0,14.0,254,44,0,0,5,19,0.76,6,27,1,124,130,333,12,,0.33,0.48
20,ITA-Serie A,2324,2023-09-01 Roma-AC Milan,3,3,2023-09-01 18:45:00+00:00,Roma,AC Milan,1 , 2,FT,4230560,https://fotmob.com/matches/ac-milan-vs-roma/2gl9pd#4230560,Roma,0.71,0.71,0.09,0.21,0.50,4.0,0.0,5.0,7.0,2.0,8.0,13.0,336,43,1,1,3,14,0.84,3,32,1,189,147,399,17,,0.14,0.65,AC Milan,1.66,0.87,1.63,0.81,0.06,4.0,0.0,9.0,1.0,4.0,0.0,9.0,478,57,1,0,5,15,0.88,3,20,1,136,342,544,7,,0.27,0.38
21,ITA-Serie A,2324,2023-09-01 Sassuolo-Hellas Verona,3,3,2023-09-01 16:30:00+00:00,Sassuolo,Hellas Verona,3 , 1,FT,4230558,https://fotmob.com/matches/sassuolo-vs-hellas-verona/2mj58u#4230558,Sassuolo,1.72,0.93,2.57,0.80,0.13,5.0,0.0,11.0,4.0,7.0,5.0,16.0,283,47,4,2,10,8,0.75,4,28,1,146,137,375,25,,0.17,0.42,Hellas Verona,0.63,0.63,0.58,0.57,0.06,0.0,0.0,7.0,8.0,3.0,4.0,11.0,357,53,1,1,1,13,0.8,4,33,4,116,241,445,12,,0.33,0.45
22,ITA-Serie A,2324,2023-09-02 Atalanta-Monza,3,3,2023-09-02 18:45:00+00:00,Atalanta,Monza,3 , 0,FT,4230551,https://fotmob.com/matches/monza-vs-atalanta/1v8mb2#4230551,Atalanta,1.26,1.26,1.85,1.03,0.24,5.0,0.0,11.0,5.0,8.0,7.0,18.0,364,41,4,2,7,11,0.85,10,17,4,191,173,427,14,,0.43,0.47,Monza,0.36,0.36,0.48,0.23,0.13,1.0,0.0,5.0,5.0,2.0,3.0,8.0,538,59,0,0,3,9,0.86,4,32,1,208,330,627,22,,0.29,0.49
23,ITA-Serie A,2324,2023-09-02 Bologna-Cagliari,3,3,2023-09-02 16:30:00+00:00,Bologna,Cagliari,2 , 1,FT,4230552,https://fotmob.com/matches/cagliari-vs-bologna/2sn5ak#4230552,Bologna,2.32,1.54,2.15,0.72,0.81,3.0,2.0,11.0,6.0,7.0,5.0,16.0,645,72,4,2,5,9,0.89,6,27,1,363,282,725,23,,0.35,0.57,Cagliari,0.47,0.47,0.80,0.39,0.08,1.0,0.0,3.0,5.0,1.0,4.0,7.0,211,28,1,0,2,13,0.78,3,26,1,90,121,272,17,,0.17,0.6
24,ITA-Serie A,2324,2023-09-02 SSC Napoli-Lazio,3,3,2023-09-02 18:45:00+00:00,SSC Napoli,Lazio,1 , 2,FT,4230559,https://fotmob.com/matches/lazio-vs-ssc-napoli/2szrou#4230559,SSC Napoli,1.29,1.29,0.51,0.76,0.53,10.0,0.0,13.0,8.0,4.0,9.0,22.0,520,61,0,0,7,8,0.87,6,22,4,234,286,598,22,,0.25,0.51,Lazio,0.64,0.64,1.22,0.64,0.00,1.0,0.0,5.0,3.0,2.0,1.0,6.0,317,39,1,0,2,9,0.82,1,12,3,96,221,387,8,,0.14,0.36
25,ITA-Serie A,2324,2023-09-02 Udinese-Frosinone,3,3,2023-09-02 16:30:00+00:00,Udinese,Frosinone,0 , 0,FT,4230556,https://fotmob.com/matches/udinese-vs-frosinone/2tsn7x#4230556,Udinese,1.52,1.52,1.48,1.40,0.11,2.0,0.0,7.0,4.0,6.0,5.0,12.0,263,46,3,3,3,14,0.76,6,20,0,135,128,345,26,,0.38,0.44,Frosinone,1.69,1.69,0.14,1.67,0.02,4.0,1.0,10.0,6.0,2.0,2.0,12.0,313,54,6,6,5,9,0.79,2,23,2,156,157,396,20,,0.13,0.37
26,ITA-Serie A,2324,2023-09-03 Empoli-Juventus,3,3,2023-09-03 18:45:00+00:00,Empoli,Juventus,0 , 2,FT,4230553,https://fotmob.com/matches/empoli-vs-juventus/2t05wr#4230553,Empoli,0.34,0.34,0.00,0.31,0.03,2.0,0.0,2.0,5.0,0.0,5.0,7.0,391,50,0,0,3,14,0.87,4,16,2,189,202,449,17,,0.15,0.5,Juventus,2.69,1.90,1.84,1.34,0.57,7.0,2.0,13.0,6.0,5.0,5.0,18.0,398,50,4,3,7,13,0.85,7,37,1,200,198,469,13,,0.37,0.61
27,ITA-Serie A,2324,2023-09-03 Inter-Fiorentina,3,3,2023-09-03 16:30:00+00:00,Inter,Fiorentina,4 , 0,FT,4230555,https://fotmob.com/matches/fiorentina-vs-inter/2fs4je#4230555,Inter,3.73,2.94,2.57,2.84,0.10,2.0,1.0,16.0,8.0,11.0,5.0,21.0,285,40,8,6,1,13,0.82,5,24,0,122,163,348,13,,0.56,0.62,Fiorentina,0.38,0.38,0.10,0.38,0.00,3.0,0.0,3.0,1.0,2.0,3.0,6.0,455,60,0,0,1,12,0.86,2,58,1,179,276,527,22,,0.13,0.77
28,ITA-Serie A,2324,2023-09-03 Lecce-Salernitana,3,3,2023-09-03 18:45:00+00:00,Lecce,Salernitana,2 , 0,FT,4230554,https://fotmob.com/matches/salernitana-vs-lecce/27riu0#4230554,Lecce,1.80,1.01,1.86,0.52,0.49,10.0,0.0,11.0,4.0,6.0,9.0,20.0,249,45,2,1,6,17,0.76,4,19,0,136,113,328,33,,0.24,0.4,Salernitana,1.05,1.05,0.79,0.93,0.12,1.0,1.0,5.0,6.0,4.0,6.0,11.0,317,55,2,2,5,15,0.8,1,20,1,150,167,396,28,,0.05,0.44
