league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Accurate crosses (%),home_Accurate long balls (%),team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Accurate crosses (%),away_Accurate long balls (%),fifa_version,home_team_matched,away_team_matched,home_league_name,home_league_level,home_nationality_id,home_nationality_name,home_overall,home_attack,home_midfield,home_defence,home_international_prestige,home_domestic_prestige,home_club_worth_eur,home_starting_xi_average_age,home_whole_team_average_age,away_league_name,away_league_level,away_nationality_id,away_nationality_name,away_overall,away_attack,away_midfield,away_defence,away_international_prestige,away_domestic_prestige,away_club_worth_eur,away_starting_xi_average_age,away_whole_team_average_age
ENG-Premier League,2122,2021-08-13 Brentford-Arsenal,1,1,2021-08-13 19:00:00+00:00,Brentford,Arsenal,2,0,FT,3609929,https://fotmob.com/matches/arsenal-vs-brentford/389pak#3609929,Brentford,1.24,1.24,1.0,0.57,0.67,0.0,1.0,7.0,5.0,3.0,1.0,8.0,201.0,35.0,2.0,1.0,2.0,12.0,0.65,2.0,22.0,1.0,95.0,106.0,309.0,19.0,0.22,0.34,Arsenal,1.28,1.28,0.37,0.94,0.34,4.0,0.0,13.0,14.0,4.0,9.0,22.0,488.0,65.0,0.0,0.0,5.0,8.0,0.86,10.0,20.0,1.0,283.0,205.0,568.0,26.0,0.45,0.43,22,Brentford,Arsenal,Premier League,1.0,14.0,England,73.0,73.0,74.0,73.0,1.0,1.0,185500000.0,24.73,23.45,Premier League,1.0,14.0,England,79.0,83.0,81.0,77.0,7.0,7.0,2400000000.0,25.45,23.27
ENG-Premier League,2122,2021-08-14 Burnley-Brighton & Hove Albion,1,1,2021-08-14 14:00:00+00:00,Burnley,Brighton & Hove Albion,1,2,FT,3609930,https://fotmob.com/matches/burnley-vs-brighton-hove-albion/2sqnq1#3609930,Burnley,1.45,1.45,0.94,0.48,0.97,3.0,2.0,8.0,8.0,3.0,6.0,14.0,181.0,36.0,3.0,2.0,7.0,10.0,0.7,5.0,17.0,1.0,105.0,76.0,259.0,24.0,0.14,0.34,Brighton & Hove Albion,1.05,1.05,1.15,0.91,0.15,2.0,0.0,12.0,4.0,8.0,2.0,14.0,424.0,64.0,3.0,1.0,6.0,7.0,0.82,6.0,25.0,0.0,151.0,273.0,518.0,24.0,0.43,0.35,22,Burnley,Brighton & Hove Albion,Premier League,1.0,14.0,England,76.0,76.0,76.0,77.0,1.0,2.0,378500000.0,28.55,26.58,Premier League,1.0,14.0,England,76.0,75.0,77.0,75.0,1.0,2.0,383300000.0,26.91,23.52
ENG-Premier League,2122,2021-08-14 Chelsea-Crystal Palace,1,1,2021-08-14 14:00:00+00:00,Chelsea,Crystal Palace,3,0,FT,3609931,https://fotmob.com/matches/chelsea-vs-crystal-palace/2rhvvj#3609931,Chelsea,0.68,0.68,1.67,0.45,0.23,2.0,0.0,5.0,5.0,6.0,8.0,13.0,623.0,62.0,1.0,0.0,5.0,15.0,0.92,4.0,38.0,0.0,374.0,249.0,678.0,17.0,0.18,0.73,Crystal Palace,0.22,0.22,0.18,0.11,0.11,1.0,0.0,4.0,2.0,1.0,0.0,4.0,363.0,38.0,0.0,0.0,2.0,11.0,0.86,3.0,18.0,1.0,99.0,264.0,423.0,14.0,0.6,0.46,22,Chelsea,Crystal Palace,Premier League,1.0,14.0,England,83.0,84.0,86.0,81.0,8.0,8.0,2700000000.0,26.82,24.82,Premier League,1.0,14.0,England,76.0,77.0,76.0,74.0,2.0,3.0,410500000.0,27.55,25.3
ENG-Premier League,2122,2021-08-14 Everton-Southampton,1,1,2021-08-14 14:00:00+00:00,Everton,Southampton,3,1,FT,3609932,https://fotmob.com/matches/southampton-vs-everton/2feiut#3609932,Everton,2.42,2.42,2.96,1.7,0.72,3.0,0.0,11.0,5.0,6.0,3.0,14.0,235.0,48.0,3.0,1.0,6.0,13.0,0.7,6.0,26.0,0.0,122.0,113.0,337.0,28.0,0.24,0.38,Southampton,0.85,0.85,1.09,0.59,0.25,2.0,0.0,5.0,1.0,3.0,1.0,6.0,256.0,52.0,1.0,0.0,8.0,15.0,0.69,4.0,10.0,0.0,142.0,114.0,370.0,26.0,0.18,0.2,22,Everton,Southampton,Premier League,1.0,14.0,England,79.0,79.0,78.0,79.0,5.0,6.0,572500000.0,27.09,25.7,Championship,1.0,14.0,England,76.0,76.0,77.0,73.0,3.0,4.0,455500000.0,25.09,23.7
ENG-Premier League,2122,2021-08-14 Leicester City-Wolverhampton Wanderers,1,1,2021-08-14 14:00:00+00:00,Leicester City,Wolverhampton Wanderers,1,0,FT,3609933,https://fotmob.com/matches/leicester-city-vs-wolverhampton-wanderers/2c0p1m#3609933,Leicester City,0.49,0.49,1.18,0.49,0.0,1.0,0.0,6.0,3.0,5.0,3.0,9.0,505.0,56.0,0.0,0.0,5.0,6.0,0.86,2.0,16.0,5.0,176.0,329.0,584.0,26.0,0.29,0.46,Wolverhampton Wanderers,1.33,1.33,0.22,1.28,0.05,7.0,0.0,12.0,7.0,3.0,5.0,17.0,366.0,44.0,1.0,1.0,4.0,10.0,0.83,6.0,36.0,4.0,173.0,193.0,443.0,21.0,0.38,0.62,22,Leicester City,Wolverhampton Wanderers,Championship,1.0,14.0,England,80.0,82.0,81.0,79.0,6.0,7.0,562500000.0,27.36,25.27,Premier League,1.0,14.0,England,78.0,78.0,81.0,77.0,4.0,5.0,416500000.0,27.64,23.61
ENG-Premier League,2122,2021-08-14 Manchester United-Leeds United,1,1,2021-08-14 11:30:00+00:00,Manchester United,Leeds United,5,1,FT,3609934,https://fotmob.com/matches/leeds-united-vs-manchester-united/2wd539#3609934,Manchester United,1.5,1.5,1.64,1.46,0.04,3.0,0.0,12.0,5.0,8.0,4.0,16.0,334.0,49.0,3.0,1.0,5.0,11.0,0.79,1.0,25.0,2.0,141.0,193.0,422.0,27.0,0.09,0.53,Leeds United,0.52,0.52,1.01,0.33,0.19,1.0,0.0,3.0,6.0,3.0,7.0,10.0,343.0,51.0,2.0,2.0,4.0,9.0,0.78,4.0,23.0,3.0,101.0,242.0,438.0,17.0,0.29,0.37,22,Manchester United,Leeds United,Premier League,1.0,14.0,England,84.0,85.0,84.0,83.0,8.0,9.0,3500000000.0,26.55,25.85,Championship,1.0,14.0,England,77.0,78.0,78.0,76.0,2.0,5.0,411500000.0,26.45,22.68
ENG-Premier League,2122,2021-08-14 Norwich City-Liverpool,1,1,2021-08-14 16:30:00+00:00,Norwich City,Liverpool,0,3,FT,3609936,https://fotmob.com/matches/liverpool-vs-norwich-city/2tw7ms#3609936,Norwich City,1.42,1.42,1.71,0.31,1.11,3.0,0.0,9.0,8.0,3.0,5.0,14.0,441.0,50.0,1.0,1.0,3.0,4.0,0.85,4.0,34.0,2.0,121.0,320.0,520.0,17.0,0.21,0.49,Liverpool,1.66,1.66,1.17,1.14,0.51,4.0,0.0,13.0,7.0,8.0,6.0,19.0,432.0,50.0,4.0,2.0,11.0,14.0,0.84,6.0,29.0,0.0,199.0,233.0,512.0,19.0,0.24,0.66,22,Norwich City,Liverpool,Championship,1.0,14.0,England,74.0,76.0,74.0,74.0,1.0,1.0,326000000.0,26.64,23.85,Premier League,1.0,14.0,England,84.0,86.0,83.0,85.0,9.0,9.0,3500000000.0,28.18,25.0
ENG-Premier League,2122,2021-08-14 Watford-Aston Villa,1,1,2021-08-14 14:00:00+00:00,Watford,Aston Villa,3,2,FT,3609938,https://fotmob.com/matches/watford-vs-aston-villa/3bwqyg#3609938,Watford,1.17,1.17,1.57,0.87,0.3,2.0,0.0,9.0,4.0,7.0,4.0,13.0,234.0,38.0,1.0,1.0,2.0,18.0,0.74,2.0,21.0,0.0,78.0,156.0,317.0,17.0,0.25,0.33,Aston Villa,1.19,0.41,1.32,0.31,0.09,3.0,0.0,4.0,6.0,2.0,7.0,11.0,435.0,62.0,1.0,0.0,4.0,13.0,0.86,2.0,28.0,2.0,185.0,250.0,508.0,21.0,0.08,0.56,22,Watford,Aston Villa,Championship,1.0,14.0,England,75.0,74.0,75.0,73.0,2.0,3.0,380500000.0,26.91,26.13,Premier League,1.0,14.0,England,78.0,78.0,76.0,77.0,3.0,4.0,420500000.0,24.91,23.29
ENG-Premier League,2122,2021-08-15 Newcastle United-West Ham United,1,1,2021-08-15 13:00:00+00:00,Newcastle United,West Ham United,2,4,FT,3609935,https://fotmob.com/matches/west-ham-united-vs-newcastle-united/2yilb8#3609935,Newcastle United,1.83,1.83,1.53,1.27,0.55,7.0,0.0,9.0,7.0,3.0,8.0,17.0,340.0,46.0,1.0,0.0,7.0,4.0,0.85,6.0,26.0,1.0,170.0,170.0,401.0,16.0,0.22,0.51,West Ham United,2.92,2.13,3.98,1.77,0.36,5.0,1.0,12.0,4.0,9.0,6.0,18.0,405.0,54.0,6.0,3.0,6.0,3.0,0.86,4.0,18.0,2.0,233.0,172.0,473.0,21.0,0.17,0.47,22,Newcastle United,West Ham United,Premier League,1.0,14.0,England,76.0,79.0,75.0,74.0,3.0,4.0,505000000.0,26.91,25.42,Premier League,1.0,14.0,England,79.0,79.0,79.0,79.0,4.0,5.0,565000000.0,28.73,26.15
ENG-Premier League,2122,2021-08-15 Tottenham Hotspur-Manchester City,1,1,2021-08-15 15:30:00+00:00,Tottenham Hotspur,Manchester City,1,0,FT,3609937,https://fotmob.com/matches/manchester-city-vs-tottenham-hotspur/2egtpx#3609937,Tottenham Hotspur,1.05,1.05,0.75,0.8,0.25,5.0,0.0,5.0,5.0,3.0,8.0,13.0,227.0,34.0,1.0,1.0,3.0,11.0,0.77,3.0,25.0,3.0,134.0,93.0,293.0,17.0,0.25,0.49,Manchester City,1.78,1.78,0.44,1.0,0.78,5.0,0.0,11.0,9.0,4.0,7.0,18.0,469.0,66.0,3.0,3.0,11.0,8.0,0.86,4.0,9.0,1.0,274.0,195.0,548.0,17.0,0.13,0.41,22,Tottenham Hotspur,Manchester City,Premier League,1.0,14.0,England,82.0,86.0,80.0,80.0,7.0,8.0,2300000000.0,25.91,23.03,Premier League,1.0,14.0,England,85.0,85.0,85.0,86.0,10.0,10.0,3400000000.0,27.0,24.31
